item_id,item_name,sku,opening_stock,quantity_in,quantity_out,closing_stock,purchase_account_name,sku
2968232000000087034,Boys Bottoms 0-3 months,BOY-BOT-000M,86.00,0.00,0.00,86.00,Cost of Goods Sold,BOY-BOT-000M
2968232000000087045,Boys Bottoms 3-6 months,BOY-BOT-003M,306.00,0.00,7.00,299.00,Cost of Goods Sold,BOY-BOT-003M
2968232000000087056,Boys Bottoms 6-9 months,BOY-BOT-006M,272.00,0.00,0.00,272.00,Cost of Goods Sold,BOY-BOT-006M
2968232000000087067,Boys Bottoms 9-12 months,BOY-BOT-009M,173.00,0.00,5.00,168.00,Cost of Goods Sold,BOY-BOT-009M
2968232000000087078,Boys Bottoms 12 months,BOY-BOT-012M,354.00,0.00,0.00,354.00,Cost of Goods Sold,BOY-BOT-012M
2968232000000087089,Boys Bottoms 18 months,BOY-BOT-018M,423.00,0.00,0.00,423.00,Cost of Goods Sold,BOY-BOT-018M
2968232000000087100,Boys Bottoms 24 months/2T,BOY-BOT-02T,255.00,0.00,0.00,255.00,Cost of Goods Sold,BOY-BOT-02T
2968232000000087111,Boys Bottoms 3T,BOY-BOT-03T,216.00,0.00,2.00,214.00,Cost of Goods Sold,BOY-BOT-03T
2968232000000087122,Boys Bottoms 4T,BOY-BOT-04T,280.00,0.00,6.00,274.00,Cost of Goods Sold,BOY-BOT-04T
2968232000000087133,Boys Bottoms 5 Slim,BOY-BOT-05S,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-05S
2968232000000087144,Boys Bottoms 5,BOY-BOT-05,10.00,3.00,7.00,6.00,Cost of Goods Sold,BOY-BOT-05
2968232000000087155,Boys Bottoms 5 Husky,BOY-BOT-05H,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-05H
2968232000000087166,Boys Bottoms 6 Slim,BOY-BOT-06S,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-BOT-06S
2968232000000087177,Boys Bottoms 6,BOY-BOT-06,67.00,2.00,1.00,68.00,Cost of Goods Sold,BOY-BOT-06
2968232000000087188,Boys Bottoms 6 Husky,BOY-BOT-06H,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-06H
2968232000000087199,Boys Bottoms 7 (Small) Slim,BOY-BOT-07S,-2.00,0.00,0.00,-2.00,Cost of Goods Sold,BOY-BOT-07S
2968232000000087210,Boys Bottoms 7 (Small),BOY-BOT-07,53.00,6.00,5.00,54.00,Cost of Goods Sold,BOY-BOT-07
2968232000000087221,Boys Bottoms 7 Husky,BOY-BOT-07H,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-07H
2968232000000087232,Boys Bottoms 8 (Small) Slim,BOY-BOT-08S,-3.00,0.00,1.00,-4.00,Cost of Goods Sold,BOY-BOT-08S
2968232000000087243,Boys Bottoms 8 (Small),BOY-BOT-08,13.00,7.00,15.00,5.00,Cost of Goods Sold,BOY-BOT-08
2968232000000087254,Boys Bottoms 8 Husky,BOY-BOT-08H,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-08H
2968232000000087265,Boys Bottoms 10 (Med) Slim,BOY-BOT-10S,-14.00,0.00,3.00,-17.00,Cost of Goods Sold,BOY-BOT-10S
2968232000000087276,Boys Bottoms 10 (Med),BOY-BOT-10,139.00,15.00,3.00,151.00,Cost of Goods Sold,BOY-BOT-10
2968232000000087287,Boys Bottoms 10 Husky,BOY-BOT-10H,17.00,0.00,13.00,4.00,Cost of Goods Sold,BOY-BOT-10H
2968232000000087298,Boys Bottoms 12 (Med) Slim,BOY-BOT-12S,9.00,0.00,0.00,9.00,Cost of Goods Sold,BOY-BOT-12S
2968232000000087309,Boys Bottoms 12 (Med),BOY-BOT-12,1.00,10.00,17.00,-6.00,Cost of Goods Sold,BOY-BOT-12
2968232000000087320,Boys Bottoms 12 Husky,BOY-BOT-12H,-5.00,9.00,4.00,0.00,Cost of Goods Sold,BOY-BOT-12H
2968232000000087331,Boys Bottoms 14 (Large) Slim,BOY-BOT-14S,-8.00,0.00,0.00,-8.00,Cost of Goods Sold,BOY-BOT-14S
2968232000000087342,Boys Bottoms 14 (Large),BOY-BOT-14,145.00,15.00,10.00,150.00,Cost of Goods Sold,BOY-BOT-14
2968232000000087353,Boys Bottoms 14 Husky,BOY-BOT-14H,5.00,0.00,9.00,-4.00,Cost of Goods Sold,BOY-BOT-14H
2968232000000087364,Boys Bottoms 16 (Large) Slim,BOY-BOT-16S,-8.00,0.00,0.00,-8.00,Cost of Goods Sold,BOY-BOT-16S
2968232000000087375,Boys Bottoms 16 (Large),BOY-BOT-16,1.00,0.00,5.00,-4.00,Cost of Goods Sold,BOY-BOT-16
2968232000000087386,Boys Bottoms 16 Husky,BOY-BOT-16H,-8.00,0.00,0.00,-8.00,Cost of Goods Sold,BOY-BOT-16H
2968232000000087397,Boys Bottoms 18 (XL) Slim,BOY-BOT-18S,1.00,0.00,0.00,1.00,Cost of Goods Sold,BOY-BOT-18S
2968232000000087408,Boys Bottoms 18 (XL),BOY-BOT-18,10.00,4.00,7.00,7.00,Cost of Goods Sold,BOY-BOT-18
2968232000000087419,Boys Bottoms 18 Husky,BOY-BOT-18H,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-BOT-18H
2968232000000087430,Boys Bottoms 20 (XL) Slim,BOY-BOT-20S,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-20S
2968232000000087441,Boys Bottoms 20 (XL),BOY-BOT-20,1.00,0.00,0.00,1.00,Cost of Goods Sold,BOY-BOT-20
2968232000000087452,Boys Bottoms 20 (XL) Husky,BOY-BOT-20H,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-BOT-20H
2968232000000087463,Boys Tops 0-3 months,BOY-TOP-000M,123.00,0.00,0.00,123.00,Cost of Goods Sold,BOY-TOP-000M
2968232000000087474,Boys Tops 3-6 months,BOY-TOP-003M,433.00,0.00,9.00,424.00,Cost of Goods Sold,BOY-TOP-003M
2968232000000087485,Boys Tops 6-9 months,BOY-TOP-006M,380.00,0.00,0.00,380.00,Cost of Goods Sold,BOY-TOP-006M
2968232000000087496,Boys Tops 9-12 months,BOY-TOP-009M,261.00,0.00,6.00,255.00,Cost of Goods Sold,BOY-TOP-009M
2968232000000087507,Boys Tops 12 months,BOY-TOP-012M,290.00,0.00,0.00,290.00,Cost of Goods Sold,BOY-TOP-012M
2968232000000087518,Boys Tops 18 months,BOY-TOP-018M,335.00,0.00,0.00,335.00,Cost of Goods Sold,BOY-TOP-018M
2968232000000087529,Boys Tops 24 months/2T,BOY-TOP-02T,164.00,0.00,0.00,164.00,Cost of Goods Sold,BOY-TOP-02T
2968232000000087540,Boys Tops 3T,BOY-TOP-03T,280.00,0.00,2.00,278.00,Cost of Goods Sold,BOY-TOP-03T
2968232000000087551,Boys Tops 4T,BOY-TOP-04T,524.00,0.00,9.00,515.00,Cost of Goods Sold,BOY-TOP-04T
2968232000000087562,Boys Tops 5T/5,BOY-TOP-05T,161.00,4.00,21.00,144.00,Cost of Goods Sold,BOY-TOP-05T
2968232000000087573,Boys Tops 6,BOY-TOP-06,532.00,8.00,35.00,505.00,Cost of Goods Sold,BOY-TOP-06
2968232000000087584,Boys Tops 7 (Small),BOY-TOP-07,89.00,4.00,8.00,85.00,Cost of Goods Sold,BOY-TOP-07
2968232000000087595,Boys Tops 8 (Small),BOY-TOP-08,49.00,10.00,21.00,38.00,Cost of Goods Sold,BOY-TOP-08
2968232000000087606,Boys Tops 10 (Med),BOY-TOP-10,297.00,16.00,38.00,275.00,Cost of Goods Sold,BOY-TOP-10
2968232000000087617,Boys Tops 12 (Med),BOY-TOP-12,-14.00,43.00,26.00,3.00,Cost of Goods Sold,BOY-TOP-12
2968232000000087628,Boys Tops 14 (Large),BOY-TOP-14,196.00,12.00,63.00,145.00,Cost of Goods Sold,BOY-TOP-14
2968232000000087639,Boys Tops 16 (Large),BOY-TOP-16,1.00,13.00,12.00,2.00,Cost of Goods Sold,BOY-TOP-16
2968232000000087650,Boys Tops 18 (XL),BOY-TOP-18,18.00,6.00,10.00,14.00,Cost of Goods Sold,BOY-TOP-18
2968232000000087661,Boys Tops 20 (XL),BOY-TOP-20,0.00,1.00,0.00,1.00,Cost of Goods Sold,BOY-TOP-20
2968232000000087672,Boys Shoes Infant 1,BOY-SHO-INF1,8.00,2.00,1.00,9.00,Cost of Goods Sold,BOY-SHO-INF1
2968232000000087683,Boys Shoes Infant 2,BOY-SHO-INF2,28.00,8.00,8.00,28.00,Cost of Goods Sold,BOY-SHO-INF2
2968232000000087694,Boys Shoes Infant 3,BOY-SHO-INF3,33.00,0.00,1.00,32.00,Cost of Goods Sold,BOY-SHO-INF3
2968232000000087705,Boys Shoes Infant 4,BOY-SHO-INF4,12.00,3.00,0.00,15.00,Cost of Goods Sold,BOY-SHO-INF4
2968232000000087716,Boys Shoes Toddler 5,BOY-SHO-TOD05,25.00,1.00,2.00,24.00,Cost of Goods Sold,BOY-SHO-TOD05
2968232000000087727,Boys Shoes Toddler 5.5,BOY-SHO-TOD05.5,1.00,0.00,0.00,1.00,Cost of Goods Sold,BOY-SHO-TOD05.5
2968232000000087738,Boys Shoes Toddler 6,BOY-SHO-TOD06,11.00,1.00,0.00,12.00,Cost of Goods Sold,BOY-SHO-TOD06
2968232000000087749,Boys Shoes Toddler 6.5,BOY-SHO-TOD06.5,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-SHO-TOD06.5
2968232000000087760,Boys Shoes Toddler 7,BOY-SHO-TOD07,9.00,5.00,0.00,14.00,Cost of Goods Sold,BOY-SHO-TOD07
2968232000000087771,Boys Shoes Toddler 7.5,BOY-SHO-TOD07.5,1.00,3.00,2.00,2.00,Cost of Goods Sold,BOY-SHO-TOD07.5
2968232000000087782,Boys Shoes Toddler 8,BOY-SHO-TOD08,12.00,3.00,0.00,15.00,Cost of Goods Sold,BOY-SHO-TOD08
2968232000000087793,Boys Shoes Toddler 8.5,BOY-SHO-TOD08.5,1.00,0.00,1.00,0.00,Cost of Goods Sold,BOY-SHO-TOD08.5
2968232000000087804,Boys Shoes Toddler 9,BOY-SHO-TOD09,11.00,0.00,2.00,9.00,Cost of Goods Sold,BOY-SHO-TOD09
2968232000000087815,Boys Shoes Toddler 9.5,BOY-SHO-TOD09.5,1.00,0.00,0.00,1.00,Cost of Goods Sold,BOY-SHO-TOD09.5
2968232000000087826,Boys Shoes Toddler 10,BOY-SHO-TOD10,14.00,0.00,6.00,8.00,Cost of Goods Sold,BOY-SHO-TOD10
2968232000000087837,Boys Shoes Toddler 10.5,BOY-SHO-TOD10.5,1.00,0.00,0.00,1.00,Cost of Goods Sold,BOY-SHO-TOD10.5
2968232000000087848,Boys Shoes Toddler 11,BOY-SHO-TOD11,5.00,1.00,0.00,6.00,Cost of Goods Sold,BOY-SHO-TOD11
2968232000000087859,Boys Shoes Toddler 11.5,BOY-SHO-TOD11.5,11.00,0.00,0.00,11.00,Cost of Goods Sold,BOY-SHO-TOD11.5
2968232000000087870,Boys Shoes Toddler 12,BOY-SHO-TOD12,11.00,4.00,1.00,14.00,Cost of Goods Sold,BOY-SHO-TOD12
